Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
TOKIMEKI Runners,1,TOKIMEKI Runners,TOKIMEKI Runners,TOKIMEKI Runners,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,畑 亜貴,Aki Hata,하타 아키,矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),矢鴇つかさ(Arte Refract),Tsukasa Yatoki(Arte Refract),야토키 츠카사(Arte Refract),2018-11-21,https://youtu.be/ToT2O8wp0Jo,Nijigasaki,9 Members Ver.,ときめきランナーズ
TOKIMEKI Runners,2,夢への一歩,Yume e no Ippo,꿈으로의 한 걸음,上原歩夢,Ayumu Uehara,우에하라 아유무,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,菊地博人,Hiroto Kikuchi,키쿠치 히로토,2018-11-21,https://youtu.be/suWk33wqGrs,Nijigasaki,,ゆめへのいっぽ
TOKIMEKI Runners,3,ダイアモンド,Diamond,다이아몬드,中須かすみ,Kasumi Nakasu,나카스 카스미,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,tasuku,tasuku,tasuku,2018-11-21,https://youtu.be/dNYPwvpqAuw,Nijigasaki,,ダイアモンド
TOKIMEKI Runners,4,あなたの理想のヒロイン,Anata no Risou no Heroine,당신의 이상적인 히로인,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,月見草,Tsukimisou,츠키미소오,月見草,Tsukimisou,츠키미소오,遠藤ナオキ,Naoki Endo,엔도 나오키,2018-11-21,https://youtu.be/WIqYLm9EH6I,Nijigasaki,,あなたのりそうのヒロイン
TOKIMEKI Runners,5,Starlight,Starlight,Starlight,朝香果林,Karin Asaka,아사카 카린,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,BEATNINE,2018-11-21,https://youtu.be/1SpOixerr44,Nijigasaki,,スターライト
TOKIMEKI Runners,6,めっちゃGoing!!,Meccha Going!!,엄청 Going!!,宮下 愛,Ai Miyashita,미야시타 아이,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Akira Sunset;Carlos K.,Carlos K.,Carlos K.,Carlos K.,2018-11-21,https://youtu.be/zweAj9PDuo4,Nijigasaki,,めっちゃゴーイング!!
TOKIMEKI Runners,7,眠れる森に行きたいな,Nemureru Mori ni Ikitai na,잠자는 숲 속으로 가고 싶어,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,2018-11-21,https://youtu.be/wc2QLrW7Gqg,Nijigasaki,,ねむれるもりにいきたいな
TOKIMEKI Runners,8,CHASE!,CHASE!,CHASE!,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,鈴木エレカ;JOE,Ereca Suzuki;JOE,스즈키 에레카;JOE,tasuku,tasuku,tasuku,2018-11-21,https://youtu.be/5R1l0xrtVOc,Nijigasaki,,チェイス!
TOKIMEKI Runners,9,Evergreen,Evergreen,Evergreen,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito;近谷直之,Ryota Saito;Naoyuki Chikatani,Ryota Saito;치카타니 나오유키,Ryota Saito;近谷直之,Ryota Saito;Naoyuki Chikatani,Ryota Saito;치카타니 나오유키,Ryota Saito;近谷直之,Ryota Saito;Naoyuki Chikatani,Ryota Saito;치카타니 나오유키,2018-11-21,https://youtu.be/AQAYnluAxd8,Nijigasaki,,エバーグリーン
TOKIMEKI Runners,10,ドキピポ☆エモーション,Doki Pipo☆Emotion,도키피포☆이모션,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA;菊池博人,NOVECHIKA;Hiroto Kikuchi,NOVECHIKA;키쿠치 히로토,NOVECHIKA;菊池博人,NOVECHIKA;Hiroto Kikuchi,NOVECHIKA;키쿠치 히로토,NOVECHIKA;菊池博人,NOVECHIKA;Hiroto Kikuchi,NOVECHIKA;키쿠치 히로토,2018-11-21,https://youtu.be/Otar-6a710Y,Nijigasaki,,ドキピポ　エモーション
ドラマCD 放課後ファンタジア [Disc 1],1,ラジオドラマ 0章1話,Radio Drama Chapter 0 Episode 1,라디오 드라마 0장 1화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],2,ラジオドラマ 0章2話,Radio Drama Chapter 0 Episode 2,라디오 드라마 0장 2화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],3,ラジオドラマ 0章3話,Radio Drama Chapter 0 Episode 3,라디오 드라마 0장 3화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],4,ラジオドラマ 0章4話,Radio Drama Chapter 0 Episode 4,라디오 드라마 0장 4화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],5,ラジオドラマ 1章1話,Radio Drama Chapter 1 Episode 1,라디오 드라마 1장 1화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],6,ラジオドラマ 1章2話,Radio Drama Chapter 1 Episode 2,라디오 드라마 1장 2화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],7,ラジオドラマ 1章3話,Radio Drama Chapter 1 Episode 3,라디오 드라마 1장 3화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],8,ラジオドラマ 1章4話,Radio Drama Chapter 1 Episode 4,라디오 드라마 1장 4화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],9,ラジオドラマ 1章5話,Radio Drama Chapter 1 Episode 5,라디오 드라마 1장 5화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],10,ラジオドラマ 1章6話,Radio Drama Chapter 1 Episode 6,라디오 드라마 1장 6화,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],11,ラジオドラマ 2章1話 ~学園紹介動画を作ろう！~,Radio Drama Chapter 2 Episode 1 ~Make a school introducing video!~,라디오 드라마 2장 1화 ~학원 소개 영상을 만들자!~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],12,ラジオドラマ 2章2話 ~みんなの憩いの場所~,Radio Drama Chapter 2 Episode 2 ~A place of rest and relaxation for everyone~,라디오 드라마 2장 2화 ~모두의 휴식처~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],13,ラジオドラマ 2章3話 ~いつかここで……~,Radio Drama Chapter 2 Episode 3 ~Someday at here......~,라디오 드라마 2장 3화 ~언젠가 이곳에서…...~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],14,ラジオドラマ 2章4話 ~世界を旅するところ~,Radio Drama Chapter 2 Episode 4 ~When we travel the world~,라디오 드라마 2장 4화 ~세계를 여행할 때~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],15,ラジオドラマ 2章5話 ~最先端でなんでも解決！？~,Radio Drama Chapter 2 Episode 5 ~Cutting-edge solutions to everything!?~,라디오 드라마 2장 5화 ~최첨단으로 무엇이든 해결!?~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],16,ラジオドラマ 2章6話 ~知識の泉で癒されて~,Radio Drama Chapter 2 Episode 6 ~Healing at the Fountain of Knowledge~,라디오 드라마 2장 6화 ~지식의 샘에서 치유받아서~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],17,ラジオドラマ 2章7話 ~食欲はオーブンを制す~,Radio Drama Chapter 2 Episode 7 ~Appetite conquers the oven~,라디오 드라마 2장 7화 ~식욕은 오븐을 지배한다~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 1],18,ラジオドラマ 2章8話 ~ついに完成！学園紹介動画！~,Radio Drama Chapter 2 Episode 8 ~Finally completed! School introduction video!~,라디오 드라마 2장 8화 ~드디어 완성! 학원 소개 영상!~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 2],1,ラジオドラマ 3章1話 ~助けて！スクールアイドル同好会！~,Radio Drama Chapter 3 Episode 1 ~Help! School Idol Club!~,라디오 드라마 3장 1화 ~도와줘! 스쿨 아이돌 동호회!~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
