日本語,Romaji,한국어,声優,Seiyuu,성우,Unit
澁谷かのん,Kanon Shibuya,시부야 카논,伊達さゆり,Sayuri Date,다테 사유리,CatChu!
唐可可,Keke Tang,탕 쿠쿠,Liyuu,Liyuu,Liyuu,KALEIDOSCORE
嵐千砂都,Chisato Arashi,아라시 치사토,岬なこ,Nako Misaki,미사키 나코,5yncri5e!
平安名すみれ,Sumire Heanna,헤안나 스미레,ペイトン尚未,Naomi Payton,페이튼 나오미,CatChu!
葉月恋,Ren Hazuki,하즈키 렌,青山なぎさ,Nagisa Aoyama,아오야마 나기사,KALEIDOSCORE
桜小路きな子,Kinako Sakurakoji,사쿠라코지 키나코,鈴原希実,Nozomi Suzuhara,스즈하라 노조미,5yncri5e!
米女メイ,Mei Yoneme,요네메 메이,薮島 朱音,Akane Yabushima,야부시마 아카네,CatChu!
若菜四季,Shiki Wakana,와카나 시키,大熊 和奏,Wakana Ookuma,오오쿠마 와카나,5yncri5e!
鬼塚夏美,Natsumi Onitsuka,오니츠카 나츠미,絵森彩,Aya Emori,에모리 아야,5yncri5e!
ウィーン・マルガレーテ,Margarete Wien,유이나,結那,Yuina,유이나,KALEIDOSCORE
鬼塚冬毬,Tomari Onitsuka,오니츠카 토마리,坂倉花,Sakura Sakakura,사카쿠라 사쿠라,5yncri5e!
