日本語,Romaji,한국어,声優,Seiyuu,성우,Unit
椿ルリカ,Rurika Tsubaki,츠바키 루리카,堀内 まり菜,Marina Horiuchi,호리우치 마리나,椿咲花女子高等学校
北条ユキノ,Yukino Hojo,호죠 유키노,杏ジュリア,An Juria,안 쥬리아,椿咲花女子高等学校
皇ユズハ,Yuzuha Sumeragi,스메라기 유즈하,浅井 七海,Nanami Asai,아사이 나나미,椿咲花女子高等学校
天草ヒカル,Hikaru Amakusa,아마쿠사 히카루,小山璃奈,Rina Koyama,코야마 리나,椿咲花女子高等学校
三笠マーヤ,Maya Mikasa,미카사 마야,佐藤 美波,Minami Sato,사토 미나미,椿咲花女子高等学校
滝沢アンズ,Anzu Takizawa,타키자와 안즈,関根優那,Yuuna Sekine,세키네 유우나,滝桜女学院高等学校
来栖トア,Toa Kurusu,쿠루스 토아,星守紗凪,Sana Hoshimori,호시모리 사나,滝桜女学院高等学校
若槻ミスズ,Misuzu Wakatsuki,와카츠키 미스즈,西葉 瑞希,Mizuki Saiba,사이바 미즈키,滝桜女学院高等学校
晴風サヤカ,Sayaka Harukaze,하루카제 사야카,青山 瑠里,Ruri Aoyama,아오야마 루리,滝桜女学院高等学校
鈴賀レナ,Rena Suzuka,스즈카 레나,三田 美吹,Ibuki Mita,미타 이부키,滝桜女学院高等学校
