日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
君のこころは輝いてるかい？,Kimi no Kokoro wa Kagayaiteru kai?,너의 마음은 빛나고 있니?,Aqours,Aqours,Aqours,,,,,,,,,,,2015-10-07,https://youtu.be/qwyZ5vEE5s4,
Step! ZERO to ONE,Step! ZERO to ONE,Step! ZERO to ONE,Aqours,Aqours,Aqours,,,,,,,,,,,2015-10-07,https://youtu.be/_ijn3e-3jtk,
Aqours☆HEROES,Aqours☆HEROES,Aqours☆HEROES,Aqours,Aqours,Aqours,,,,,,,,,,,2015-10-07,https://youtu.be/DeaGkBbi-2E,
恋になりたいAQUARIUM,Koi Ni Naritai AQUARIUM,사랑이 되고 싶은 AQUARIUM,Aqours,Aqours,Aqours,,,,,,,,,,,2016-04-27,https://youtu.be/3j9YFNx12I0,
待ってて愛のうた,Matte Te Ai no Uta,기다려줘 사랑의 노래,Aqours,Aqours,Aqours,,,,,,,,,,,2016-04-27,https://youtu.be/XD-vjznVNXs,
届かない星だとしても,Todoka Nai Hoshi Da To Shi Te Mo,닿을 수 없는 별이라 해도,Aqours,Aqours,Aqours,,,,,,,,,,,2016-04-27,https://youtu.be/U0rUoB9ojcM,
元気全開DAY! DAY! DAY!,Genki Zenkai Day! Day! Day!,원기전개 DAY! DAY! DAY!,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2016-05-11,https://youtu.be/lGUOVwCiG3g,
夜空はなんでも知ってるの？,Yozorawa Nandemo Shitteruno?,밤하늘은 뭐든지 알고 있는 거야?,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2016-05-11,https://youtu.be/-ugxwDzsflE,
トリコリコPLEASE!!,Torikoriko PLEASE!!,토리코리코 PLEASE!!,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2016-05-25,https://youtu.be/tCdJ6fCkSCw,
ときめき分類学,Tokimeki Bunruigaku,두근거림 분류학,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2016-05-25,https://youtu.be/JFfFJgdhLjg,
