日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note,発音
Dream Believers,Dream Believers,Dream Believers,蓮ノ空女学院スクールアイドルクラブ,Hasunosora Girls' High School Idol Club,하스노소라 여학원 스쿨 아이돌 클럽,畑 亜貴,Aki Hata,하타 아키,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,Dream Believers,2023-03-29,https://youtu.be/pFA9b7PkCOQ,,ドリーム・ビリーバーズ
On your mark,On your mark,On your mark,蓮ノ空女学院スクールアイドルクラブ,Hasunosora Girls' High School Idol Club,하스노소라 여학원 스쿨 아이돌 클럽,Kanata Okajima;Hayato Yamamoto,Kanata Okajima;Hayato Yamamoto,Kanata Okajima;Hayato Yamamoto,EFFY,EFFY,EFFY,EFFY,EFFY,EFFY,Dream Believers,2023-03-29,https://youtu.be/Jqmyvux-ztY,,オン・ユア・マーク
水彩世界,Suisai Sekai,수채화 세계,スリーズブーケ,Cerise Bouquet,스리즈 부케,ケリー,Kelly,케리,栗原暁(Jazzin'Park);前田佑,Satoru Kurihara(Jazzin'park);Tasuku Maeda,쿠리하라 사토루;마에다 타스쿠,前田佑,Tasuku Maeda,마에다 타스쿠,Dream Believers,2023-03-29,https://youtu.be/xt8pJ4riNA0,,すいさいせかい
AWOKE,AWOKE,AWOKE,DOLLCHESTRA,DOLLCHESTRA,DOLLCHESTRA,TATSUNE,TATSUNE,TATSUNE,Kanata Okajima;Hayato Yamamoto,Kanata Okajima;Hayato Yamamoto,Kanata Okajima;Hayato Yamamoto,Hayato Yamamoto,Hayato Yamamoto,Hayato Yamamoto,Dream Believers,2023-03-29,https://youtu.be/7mxDqSZH-sA,,アウォーク
ド！ド！ド！,Do! Do! Do!,도! 도! 도!,みらくらぱーく！,Mira-Cra Park!,미라쿠라파크!,ろさ,Rosa,로사,山本玲史,Reiji Yamamoto,야마모토 레이지,山本玲史,Reiji Yamamoto,야마모토 레이지,Dream Believers,2023-03-29,https://youtu.be/5TXxIDBRPEI,,ド！ド！ド！
永遠のEuphoria,Eien no Euphoria,영원의 유포리아,蓮ノ空女学院スクールアイドルクラブ,Hasunosora Girls' High School Idol Club,하스노소라 여학원 스쿨 아이돌 클럽,KOMU,KOMU,KOMU,オオヤギヒロオ,Hiroo Ooyagi,오오야기 히로오,オオヤギヒロオ,Hiroo Ooyagi,오오야기 히로오,Dream Believers,2023-03-29,https://youtu.be/hcYTaeVWGgs,,えいえんのユーフォリア
Reflection in the mirror,Reflection in the mirror,Reflection in the mirror,スリーズブーケ,Cerise Bouquet,스리즈 부케,ケリー,Kelly,케리,桃宇アリサ;めんま,Arisa Tou;Menma,토우 아리사;멘마,めんま;真部 裕,Menma;Yu Manabe,멘마;마나베 유,Reflection in the mirror,2023-04-26,NA,,リフレクション・イン・ザ・ミラー
フォーチュンムービー,Fortune Movie,포춘 무비,スリーズブーケ,Cerise Bouquet,스리즈 부케,ケリー,Kelly,케리,桃宇アリサ;めんま,Arisa Tou;Menma,토우 아리사;멘마,めんま,Menma,멘마,Reflection in the mirror,2023-04-26,NA,,フォーチュンムービー
Mix shake!!,Mix shake!!,Mix shake!!,スリーズブーケ,Cerise Bouquet,스리즈 부케,ケリー,Kelly,케리,川崎智哉,Tomoya Kawasaki,카와사키 토모야,川崎智哉,Tomoya Kawasaki,카와사키 토모야,Reflection in the mirror,2023-04-26,NA,,ミックス・シェイク!!
Sparkly Spot,Sparkly Spot,Sparkly Spot,DOLLCHESTRA,DOLLCHESTRA,DOLLCHESTRA,TATSUNE,TATSUNE,TATSUNE,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,渡辺拓也;真部 裕,Takuya Watanabe;Yu Manabe,와타나베 타쿠야;마나베 유,Sparkly Spot,2023-04-26,NA,,スパークリー・スポット
ツキマカセ,Tsukimakase,츠키마카세,DOLLCHESTRA,DOLLCHESTRA,DOLLCHESTRA,TATSUNE,TATSUNE,TATSUNE,福田陽司,Yoji Fukuda,후쿠다 요지,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,Sparkly Spot,2023-04-26,NA,,ツキマカセ
希望的プリズム,Kibouteki Prism,희망적 프리즘,DOLLCHESTRA,DOLLCHESTRA,DOLLCHESTRA,TATSUNE,TATSUNE,TATSUNE,水流雄一朗;室屋優美;Haruka Kato,Yuichiro Tsuru;Yumi Muroya;Haruka Kato,츠루 유이치로;무로야 유미;Haruka Kato,水流雄一朗;真部 裕,Yuichiro Tsuru;Yu Manabe,츠루 유이치로;마나베 유,Sparkly Spot,2023-04-26,NA,,きぼうてきプリズム
