日本語,Romaji,한국어,歌,Singer,가수,Release,Link,Note
始まりは君の空,Hajimari wa Kimi no Sora,시작은 너의 하늘,Liella!,Liella!,Liella!,2021-04-07,https://youtu.be/bjIRLovzc80,
Dancing Heart La-Pa-Pa-Pa!,Dancing Heart La-Pa-Pa-Pa!,Dancing Heart La-Pa-Pa-Pa!,Liella!,Liella!,Liella!,2021-04-07,https://youtu.be/tRwSxoz0JzU,
Dreaming Energy,Dreaming Energy,Dreaming Energy,Liella!,Liella!,Liella!,2021-04-07,https://youtu.be/7u-i_OyaLaY,
私のSymphony,Watashi no Symphony,나의 Symphony,Liella!,Liella!,Liella!,2021-04-07,https://youtu.be/6IdwHfgIzOQ,
START!! True dreams,START!! True dreams,START!! True dreams,Liella!,Liella!,Liella!,2021-07-21,https://youtu.be/35WteJ60cps,
だから僕らは鳴らすんだ！,Dakara Bokura wa Narasunda!,그래서 우리는 소리를 울리는 거야!,Liella!,Liella!,Liella!,2021-07-21,https://youtu.be/0sF9QKeY8Bo,
未来は風のように,Mirai wa Kaze no You ni,미래는 바람처럼,Liella!,Liella!,Liella!,2021-08-04,https://youtu.be/ZfjpsHnU9DM,
この街でいまキミと,Kono Machi de Ima Kimi to,이 거리에서 지금 너와,Liella!,Liella!,Liella!,2021-08-04,https://youtu.be/zjPhzcMaMb4,
未来予報ハレルヤ！,Mirai Yohou Hallelujah!,미래예보 할렐루야!,Liella!,Liella!,Liella!,2021-08-25,https://youtu.be/V6ytTXw6838,
Tiny Stars,Tiny Stars,Tiny Stars,澁谷かのん;唐可可,Kanon Shibuya;Keke Tang,시부야 카논;탕 쿠쿠,2021-08-25,https://youtu.be/XDWxSrCXuzc,
GOING UP,GOING UP,GOING UP,Liella!,Liella!,Liella!,2021-08-25,https://youtu.be/zFV-Q0DjFUY,
1.2.3！,1.2.3!,1.2.3!,Liella!,Liella!,Liella!,2021-08-25,https://youtu.be/En23vkPawHU,
心キラララ,Kokoro Kirarara,마음 반짝짝짝,澁谷かのん,Kanon Shibuya,시부야 카논,2021-09-28,NA,
