日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
始まりは君の空,Hajimari wa Kimi no Sora,시작은 너의 하늘,Liella!,Liella!,Liella!,畑 亜貴,Aki Hata,하타 아키,兼松 衆,Shu Kanematsu,카네마츠 슈,兼松 衆,Shu Kanematsu,카네마츠 슈,始まりは君の空,2021-04-07,https://youtu.be/bjIRLovzc80,
Dancing Heart La-Pa-Pa-Pa!,Dancing Heart La-Pa-Pa-Pa!,Dancing Heart La-Pa-Pa-Pa!,Liella!,Liella!,Liella!,畑 亜貴,Aki Hata,하타 아키,高木龍一,Ryuichi Takagi,타카기 류이치,高木龍一;椿山日南子,Ryuichi Takagi;Hinako Tsubakiyama,타카기 류이치;츠바키야마 히나코,始まりは君の空,2021-04-07,https://youtu.be/tRwSxoz0JzU,
Dreaming Energy,Dreaming Energy,Dreaming Energy,Liella!,Liella!,Liella!,畑 亜貴,Aki Hata,하타 아키,廣中トキワ,Tokiwa Hironaka,히로나카 토키와,Peach,Peach,Peach,始まりは君の空,2021-04-07,https://youtu.be/7u-i_OyaLaY,
私のSymphony,Watashi no Symphony,나의 Symphony,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,高木誠司;高慶CO-K卓史,"Seiji Takagi;Kokei ""CO-K"" Takafumi",타카기 세이지;타카후미 코케이,高慶CO-K卓史;兼松 衆,"Kokei ""CO-K"" Takafumi;Shu Kanematsu",타카후미 코케이;카네마츠 슈,始まりは君の空,2021-04-07,https://youtu.be/6IdwHfgIzOQ,
START!! True dreams,START!! True dreams,START!! True dreams,Liella!,Liella!,Liella!,畑 亜貴,Aki Hata,하타 아키,小幡康裕,Yasuhiro Obata,오바타 야스히로,山下洋介,Yosuke Yamashita,야마시타 요스케,START!! True dreams,2021-07-21,https://youtu.be/35WteJ60cps,
だから僕らは鳴らすんだ！,Dakara Bokura wa Narasunda!,그래서 우리는 소리를 울리는 거야!,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,藤井万利子,Mariko Fujii,후지 마리코,久保田真悟(Jazzin'park),Singo Kubota (Jazzin'park),쿠보타 신고(Jazzin'park),START!! True dreams,2021-07-21,https://youtu.be/0sF9QKeY8Bo,
未来は風のように,Mirai wa Kaze no You ni,미래는 바람처럼,Liella!,Liella!,Liella!,畑 亜貴,Aki Hata,하타 아키,山田智和,Tomokazu Yamada,야마다 토모카즈,久保田真悟(Jazzin'park);兼松 衆,Singo Kubota (Jazzin'park);Shu Kanematsu,쿠보타 신고(Jazzin'park);카네마츠 슈,未来は風のように,2021-08-04,https://youtu.be/ZfjpsHnU9DM,
この街でいまキミと,Kono Machi de Ima Kimi to,이 거리에서 지금 너와,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,めんま,Menma,멘마,家原正樹,Masaki Iehara,이에하라 마사키,未来は風のように,2021-08-04,https://youtu.be/zjPhzcMaMb4,
未来予報ハレルヤ！,Mirai Yohou Hallelujah!,미래예보 할렐루야!,Liella!,Liella!,Liella!,宮嶋淳子,Junko Miyajima,미야지마 준코,EFFY,EFFY,EFFY,山下洋介,Yosuke Yamashita,야마시타 요스케,未来予報ハレルヤ！ / Tiny Stars,2021-08-25,https://youtu.be/V6ytTXw6838,
Tiny Stars,Tiny Stars,Tiny Stars,澁谷かのん;唐可可,Kanon Shibuya;Keke Tang,시부야 카논;탕 쿠쿠,宮嶋淳子,Junko Miyajima,미야지마 준코,秋浦智裕,Tomohiro Akiura,아키우라 토모히로,秋浦智裕;兼松 衆,Tomohiro Akiura;Shu Kanematsu,아키우라 토모히로;카네마츠 슈,未来予報ハレルヤ！ / Tiny Stars,2021-08-25,https://youtu.be/XDWxSrCXuzc,
