日本語,Romaji,한국어
TOKIMEKI Runners,TOKIMEKI Runners,TOKIMEKI Runners
夢への一歩,Yume e no Ippo,꿈으로의 한 걸음
ダイアモンド,Diamond,다이아몬드
あなたの理想のヒロイン,Anata no Risou no Heroine,당신의 이상적인 히로인
Starlight,Starlight,Starlight
めっちゃGoing!!,Meccha Going!!,엄청 Going!!
眠れる森に行きたいな,Nemureru Mori ni Ikitai na,잠자는 숲 속으로 가고 싶어
CHASE!,CHASE!,CHASE!
Evergreen,Evergreen,Evergreen
ドキピポ☆エモーション,Doki Pipo☆Emotion,도키피포☆이모션
開花宣言,Kaika Sengen,개화선언
☆ワンダーランド☆,☆Wonderland☆,☆원더랜드☆
オードリー ,Audrey,오드리
Wish,Wish,Wish
友 & 愛,Yuu & Ai,친구 & 사랑
My Own Fairy-Tale,My Own Fairy-Tale,My Own Fairy-Tale
MELODY,MELODY,MELODY
声繋ごうよ,Koe Tsunagou yo,목소리를 잇자
テレテレパシー,Teletelepathy,텔레텔레파시
Love U my friends,Love U my friends,Love U my friends
SUPER NOVA,SUPER NOVA,SUPER NOVA
Love Triangle,Love Triangle,Love Triangle
Dream Land ! Dream World ! ,Dream Land! Dream World!,Dream Land! Dream World!
Cheer for you!!,Cheer for you!!,Cheer for you!!
Sing & Smile!!,Sing & Smile!!,Sing & Smile!!
Beautiful Moonlight,Beautiful Moonlight,Beautiful Moonlight
無敵級*ビリーバー,Muteki-kyuu*Believer,무적급*빌리버
未来ハーモニー,Mirai Harmony,미래 하모니
Say Good-Bye 涙,Say Good-Bye Namida,Say Good-Bye 눈물
Margaret,Margaret,Margaret
やがてひとつの物語,Yagate Hitotsu no Monogatari,이윽고 하나의 이야기
Fire Bird,Fire Bird,Fire Bird
楽しいの天才,Tanoshii no Tensai,즐거움의 천재
Märchen Star,Märchen Star,메르헨 스타
LIKE IT! LOVE IT!,LIKE IT! LOVE IT!,LIKE IT! LOVE IT!
哀温ノ詩,Aion no Uta,애온의 시
アナログハート,Analog Heart,아날로그 하트
決意の光,Ketsui no Hikari,결의의 빛
Just Believe!!!,Just Believe!!!,Just Believe!!!
虹色Passions!,Nijiiro Passions!,무지개색 Passions!
Sweet Eyes,Sweet Eyes,Sweet Eyes
"NEO SKY, NEO MAP!","NEO SKY, NEO MAP!","NEO SKY, NEO MAP!"
全速ドリーマー,Zensoku Dreamer,전속 드리머
Dream with You,Dream with You,Dream with You
Poppin' Up!,Poppin' Up!,Poppin' Up!
DIVE!,DIVE!,DIVE!
サイコーハート,Saikou Heart,사이코 하트
La Bella Patria,La Bella Patria,La Bella Patria
ツナガルコネクト,Tsunagaru Connect,이어지는 커넥트
Butterfly,Butterfly,Butterfly
Solitude Rain,Solitude Rain,Solitude Rain
VIVID WORLD,VIVID WORLD,VIVID WORLD
POWER SPOT!!,POWER SPOT!!,POWER SPOT!!
Awakening Promise,Awakening Promise,Awakening Promise
夢がここからはじまるよ,Yume ga Koko Kara Hajimaru yo,꿈이 이곳에서부터 이어져
Kakushiaji!,Kakushiaji!,Kakushiaji!
Make-up session ABC,Make-up session ABC,Make-up session ABC
祭花 -saika-,Saika,제화 -saika-
Happy Nyan! Days,Happy Nyan! Days,Happy Nyan! Days
THE SECRET NiGHT,THE SECRET NiGHT,THE SECRET NiGHT
Fly into the sky,Fly into the sky,Fly into the sky
Twinkle Town,Twinkle Town,Twinkle Town
Maze Town,Maze Town,Maze Town
フォルクロア 〜歓喜の歌〜,Folklore ~Kanki no Uta~,포크로어 ~환희의 노래~
Hurray Hurray,Hurray Hurray,Hurray Hurray
Swinging！,Swinging!,Swinging!
Not Sad,Not Sad,Not Sad
MONSTER GIRLS,MONSTER GIRLS,MONSTER GIRLS
翠いカナリア,Aoi Canaria,비취색 카나리아
I’m still...,I’m still...,I’m still...
Queendom,Queendom,Queendom
L！ L！ L！ (Love the Life We Live),L! L! L! (Love the Life We Live),L! L! L! (Love the Life We Live)
Break The System,Break The System,Break The System
TO BE YOURSELF,TO BE YOURSELF,TO BE YOURSELF
エイエ戦サー,Eieisa,에이에 전사
Turn it up!,Turn it up!,Turn it up!
Diabolic mulier,Diabolic mulier,Diabolic mulier
Silent Blaze,Silent Blaze,Silent Blaze
ヤダ！,Yada!,싫어!
いつだってfor you!,Itsu datte for you!,항상 for you!
First Love Again,First Love Again,First Love Again
コンセントレイト！,Concentrate!,컨센트레이트!
Toy Doll,Toy Doll,Toy Doll
夜明珠,Ye Mingzhu,야명주
LIVE with a smile!,LIVE with a smile!,LIVE with a smile!
ミラクル STAY TUNE!,Miracle STAY TUNE!,미라클 STAY TUNE!
Colorful Dreams! Colorful Smiles!,Colorful Dreams! Colorful Smiles!,Colorful Dreams! Colorful Smiles!
トワイライト,Twilight,Twilight
夢が僕らの太陽さ,Yume ga Bokura no Taiyo sa,꿈이 우리의 태양이야
繚乱！ビクトリーロード,Ryouran! Victory Road,요란! 빅토리 로드
ENJOY IT！,ENJOY IT!,ENJOY IT!
4 SEASONS,4 SEASONS,4 SEASONS
Eternal Light,Eternal Light,Eternal Light
恋するMagic!!,Aisuru Magic!!,사랑하는 Magic!!
Infinity！Our wings!!,Infinity! Our wings!!,Infinity! Our wings!!
